select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,bite,mordere,,,bijten ,beet,beten,gebeten ,hebben,1,ij-e:-e:,,
1,have breakfast,fare colazione,,ont,bijten ,ontbeet,ontbeten,ontbeten,hebben,1,ij-e:-e:,,
1,show,mostrarsi,,,blijken ,bleek,bleken,geblek,,1,ij-e:-e:,,
1,remain,rimanere,,,blijven ,bleef,bleven,gebleven,zijn,1,ij-e:-e:,,
,knit,lavorare a maglia,,,breien ,breide,,gebreid ,,1,ij-e:-e:,,
,,,,,drijten,dreet,,gedreten ,,1,ij-e:-e:,,
,float,galleggiare,,,drijven ,dreef,,gedreven ,,1,ij-e:-e:,,
1,disappear,sparire,,ver,dwijnen ,verdween,verdwenen,verdwen,,1,ij-e:-e:,,
1,slide,scivolare,,,glijden ,gleed,gleden,gegleden ,,1,ij-e:-e:,,
1,grab,afferrare,,,grijpen ,greep,grepen,gegrepen ,,1,ij-e:-e:,,
1,get (understand),afferrare (capire),,be,grijpen ,begreep,begrepen,begrepen ,,1,ij-e:-e:,,
,hoist,issare,,,hijsen ,hees,,gehesen ,,1,ij-e:-e:,,
1,look,guardare,,,kijken ,keek,keken,gekeken ,hebben,1,ij-e:-e:,,
1,examine,esaminare,,be,kijken ,bekeek,bekeken,bekeken ,hebben,1,ij-e:-e:,,
,quarrel,baruffare,,,kijven ,keef,keven,gekeven ,hebben,1,ij-e:-e:,,
,pinch,pizzicare,,,knijpen ,kneep,knepen,geknepen ,hebben,1,ij-e:-e:,,
1,get (receive),ottenere,,,krijgen ,kreeg,kregen,gekregen ,hebben,1,ij-e:-e:,,
,scream,gridare,,,krijsen ,krijste,krijsten,gekrijst ,hebben,1,ij-e:-e:,,
,,,,,krijten ,kreet,,gekreten ,,1,ij-e:-e:,,
,,,,,kwijten ,kweet,,gekweten ,,1,ij-e:-e:,,
1,suffer,soffrire,,,lijden ,leed,leden,geleden ,hebben,1,ij-e:-e:,,
1,die,morire,,over,lijden ,overleed,overleden,overleden ,zijn,1,ij-e:-e:,,
1,resemble,sembrare,,,lijken ,leek,leken,geleken ,hebben,1,ij-e:-e:,,
